codepoint	ascii	comment
0x000000	"\0"	" \0  <control>"
0x000001	"\u0001"	" \u0001  <control>"
0x000002	"\u0002"	" \u0002  <control>"
0x000003	"\u0003"	" \u0003  <control>"
0x000004	"\u0004"	" \u0004  <control>"
0x000005	"\u0005"	" \u0005  <control>"
0x000006	"\u0006"	" \u0006  <control>"
0x000007	"\u0007"	" \u0007  <control>"
0x000008	"\b"	" \b  <control>"
0x000009	"\t"	" \t  <control>"
0x00000a	"\n"	" \n  <control>"
0x00000b	"\v"	" \v  <control>"
0x00000c	"\f"	" \f  <control>"
0x00000d	"\r"	" \r  <control>"
0x00000e	"\u000e"	" \u000e  <control>"
0x00000f	"\u000f"	" \u000f  <control>"
0x000010	"\u0010"	" \u0010  <control>"
0x000011	"\u0011"	" \u0011  <control>"
0x000012	"\u0012"	" \u0012  <control>"
0x000013	"\u0013"	" \u0013  <control>"
0x000014	"\u0014"	" \u0014  <control>"
0x000015	"\u0015"	" \u0015  <control>"
0x000016	"\u0016"	" \u0016  <control>"
0x000017	"\u0017"	" \u0017  <control>"
0x000018	"\u0018"	" \u0018  <control>"
0x000019	"\u0019"	" \u0019  <control>"
0x00001a	"\u001a"	" \u001a  <control>"
0x00001b	"\u001b"	" \u001b  <control>"
0x00001c	"\u001c"	" \u001c  <control>"
0x00001d	"\u001d"	" \u001d  <control>"
0x00001e	"\u001e"	" \u001e  <control>"
0x00001f	"\u001f"	" \u001f  <control>"
0x000020	" "	"    SPACE"
0x000021	"!"	" !  EXCLAMATION MARK"
0x000022	""""	" ""  QUOTATION MARK"
0x000023	"#"	" #  NUMBER SIGN"
0x000024	"$"	" $  DOLLAR SIGN"
0x000025	"%"	" %  PERCENT SIGN"
0x000026	"&"	" &  AMPERSAND"
0x000027	"'",	" '  APOSTROPHE"
0x000028	"("	" (  LEFT PARENTHESIS"
0x000029	")"	" )  RIGHT PARENTHESIS"
0x00002a	"*"	" *  ASTERISK"
0x00002b	"+"	" +  PLUS SIGN"
0x00002c	","	" ,  COMMA"
0x00002d	"-"	" -  HYPHEN-MINUS"
0x00002e	"."	" .  FULL STOP"
0x00002f	"/"	" /  SOLIDUS"
0x000030	"0"	" 0  DIGIT ZERO"
0x000031	"1"	" 1  DIGIT ONE"
0x000032	"2"	" 2  DIGIT TWO"
0x000033	"3"	" 3  DIGIT THREE"
0x000034	"4"	" 4  DIGIT FOUR"
0x000035	"5"	" 5  DIGIT FIVE"
0x000036	"6"	" 6  DIGIT SIX"
0x000037	"7"	" 7  DIGIT SEVEN"
0x000038	"8"	" 8  DIGIT EIGHT"
0x000039	"9"	" 9  DIGIT NINE"
0x00003a	":"	" :  COLON"
0x00003b	";"	" ;  SEMICOLON"
0x00003c	"<"	" <  LESS-THAN SIGN"
0x00003d	"="	" =  EQUALS SIGN"
0x00003e	">"	" >  GREATER-THAN SIGN"
0x00003f	"?"	" ?  QUESTION MARK"
0x000040	"@"	" @  COMMERCIAL AT"
0x000041	"A"	" A  LATIN CAPITAL LETTER A"
0x000042	"B"	" B  LATIN CAPITAL LETTER B"
0x000043	"C"	" C  LATIN CAPITAL LETTER C"
0x000044	"D"	" D  LATIN CAPITAL LETTER D"
0x000045	"E"	" E  LATIN CAPITAL LETTER E"
0x000046	"F"	" F  LATIN CAPITAL LETTER F"
0x000047	"G"	" G  LATIN CAPITAL LETTER G"
0x000048	"H"	" H  LATIN CAPITAL LETTER H"
0x000049	"I"	" I  LATIN CAPITAL LETTER I"
0x00004a	"J"	" J  LATIN CAPITAL LETTER J"
0x00004b	"K"	" K  LATIN CAPITAL LETTER K"
0x00004c	"L"	" L  LATIN CAPITAL LETTER L"
0x00004d	"M"	" M  LATIN CAPITAL LETTER M"
0x00004e	"N"	" N  LATIN CAPITAL LETTER N"
0x00004f	"O"	" O  LATIN CAPITAL LETTER O"
0x000050	"P"	" P  LATIN CAPITAL LETTER P"
0x000051	"Q"	" Q  LATIN CAPITAL LETTER Q"
0x000052	"R"	" R  LATIN CAPITAL LETTER R"
0x000053	"S"	" S  LATIN CAPITAL LETTER S"
0x000054	"T"	" T  LATIN CAPITAL LETTER T"
0x000055	"U"	" U  LATIN CAPITAL LETTER U"
0x000056	"V"	" V  LATIN CAPITAL LETTER V"
0x000057	"W"	" W  LATIN CAPITAL LETTER W"
0x000058	"X"	" X  LATIN CAPITAL LETTER X"
0x000059	"Y"	" Y  LATIN CAPITAL LETTER Y"
0x00005a	"Z"	" Z  LATIN CAPITAL LETTER Z"
0x00005b	"["	" [  LEFT SQUARE BRACKET"
0x00005c	"\\"	" \\  REVERSE SOLIDUS"
0x00005d	"]"	" ]  RIGHT SQUARE BRACKET"
0x00005e	"^"	" ^  CIRCUMFLEX ACCENT"
0x00005f	"_"	" _  LOW LINE"
0x000060	"`"	" `  GRAVE ACCENT"
0x000061	"a"	" a  LATIN SMALL LETTER A"
0x000062	"b"	" b  LATIN SMALL LETTER B"
0x000063	"c"	" c  LATIN SMALL LETTER C"
0x000064	"d"	" d  LATIN SMALL LETTER D"
0x000065	"e"	" e  LATIN SMALL LETTER E"
0x000066	"f"	" f  LATIN SMALL LETTER F"
